datetime,steps,distance_m,calories,speed,date,day_of_week
2023-01-08 09:46:00.642,6.944445,363.26,oKa26H1Zgm,6419.77,2023-01-08,Sunday
2023-01-08 09:46:00.643,3.5,120.799995,oKa26H1Zgm,2103.3599,2023-01-08,Sunday
2023-01-08 09:46:00.643,2.9966369,422.77997,oKa26H1Zgm,7619.33,2023-01-08,Sunday
2023-01-08 09:46:00.644,5.888888,157.35999,oKa26H1Zgm,2737.4402,2023-01-08,Sunday
2023-01-08 09:46:00.644,3.1162453,158.69,oKa26H1Zgm,2760.45,2023-01-08,Sunday
2023-01-08 09:46:00.645,3.0555556,239.18999,oKa26H1Zgm,4081.46,2023-01-08,Sunday
2023-01-08 09:46:00.645,3.8888886,170.38998,oKa26H1Zgm,3006.69,2023-01-08,Sunday
2023-01-08 09:46:00.646,6.944445,194.0,oKa26H1Zgm,3333.33,2023-01-08,Sunday
2023-01-08 09:46:00.646,4.2448664,233.81999,oKa26H1Zgm,4056.1702,2023-01-08,Sunday
2023-01-08 09:46:00.647,4.965809,412.74997,oKa26H1Zgm,7240.67,2023-01-08,Sunday
2023-01-08 09:46:00.647,4.111111,328.51,oKa26H1Zgm,5807.01,2023-01-08,Sunday
2023-01-08 09:46:00.648,3.3611112,164.45999,oKa26H1Zgm,2893.54,2023-01-08,Sunday
2023-01-08 09:46:00.648,4.4722223,197.76,oKa26H1Zgm,3434.31,2023-01-08,Sunday
2023-01-08 09:46:00.649,3.8611114,117.939995,oKa26H1Zgm,2094.82,2023-01-08,Sunday
2023-01-08 09:46:00.649,4.8333344,98.579994,oKa26H1Zgm,1725.33,2023-01-08,Sunday
2023-01-08 09:46:00.650,4.194443,208.4,oKa26H1Zgm,3659.21,2023-01-08,Sunday
2023-01-08 09:46:00.650,6.9444447,65.21999,oKa26H1Zgm,1176.19,2023-01-08,Sunday
2023-01-08 09:46:00.651,2.944444,141.84999,oKa26H1Zgm,2516.6199,2023-01-08,Sunday
2023-01-08 09:46:00.651,6.9444447,145.76999,oKa26H1Zgm,2552.24,2023-01-08,Sunday
2023-01-08 09:46:00.651,4.0555553,123.399994,oKa26H1Zgm,2189.47,2023-01-08,Sunday
2023-01-08 09:46:00.653,2.8888888,162.35999,oKa26H1Zgm,2915.23,2023-01-08,Sunday
2023-01-08 09:46:00.655,6.9444447,139.53,oKa26H1Zgm,2428.75,2023-01-08,Sunday
2023-01-08 09:46:00.655,3.166667,345.97998,oKa26H1Zgm,6161.96,2023-01-08,Sunday
2023-01-08 09:46:00.656,5.333333,193.81,oKa26H1Zgm,3151.4102,2023-01-08,Sunday
2023-01-08 09:46:00.656,4.388889,188.89,oKa26H1Zgm,3298.76,2023-01-08,Sunday
2023-01-08 09:46:00.656,6.6944447,158.79999,oKa26H1Zgm,2755.95,2023-01-08,Sunday
2023-01-08 09:46:00.657,3.5363848,120.0,oKa26H1Zgm,2116.57,2023-01-08,Sunday
2023-01-08 09:46:00.658,4.8333344,176.09999,oKa26H1Zgm,3041.67,2023-01-08,Sunday
2023-01-08 09:46:00.658,3.5107868,161.62,oKa26H1Zgm,2709.3,2023-01-08,Sunday
2023-01-08 09:46:00.658,3.0555556,192.53,oKa26H1Zgm,3411.2,2023-01-08,Sunday
2023-01-08 09:46:00.659,3.4444444,212.59999,oKa26H1Zgm,3771.06,2023-01-08,Sunday
2023-01-08 09:46:00.659,3.1111116,437.98996,oKa26H1Zgm,7767.04,2023-01-08,Sunday
2023-01-08 09:46:00.660,3.493275,264.55997,oKa26H1Zgm,4618.15,2023-01-08,Sunday
2023-01-08 09:46:00.660,2.9722228,132.53,oKa26H1Zgm,2342.1,2023-01-08,Sunday
2023-01-08 09:46:00.661,3.2777774,126.52,oKa26H1Zgm,2256.53,2023-01-08,Sunday
2023-01-08 09:46:00.661,2.3055556,157.65999,oKa26H1Zgm,2712.16,2023-01-08,Sunday
2023-01-08 09:46:00.662,6.9444447,171.06999,oKa26H1Zgm,3031.17,2023-01-08,Sunday
2023-01-08 09:46:00.662,2.7222223,125.85,oKa26H1Zgm,2219.43,2023-01-08,Sunday
2023-01-08 09:46:00.663,2.9722228,120.2,oKa26H1Zgm,2167.6,2023-01-08,Sunday
2023-01-08 09:46:00.663,3.0000002,141.9,oKa26H1Zgm,2435.08,2023-01-08,Sunday
2023-01-08 09:46:00.664,3.1944444,168.90999,oKa26H1Zgm,2998.8,2023-01-08,Sunday
2023-01-08 09:46:00.664,3.2241979,142.8,oKa26H1Zgm,2457.53,2023-01-08,Sunday
2023-01-08 09:46:00.664,4.361111,127.03,oKa26H1Zgm,2243.82,2023-01-08,Sunday
2023-01-08 09:46:00.665,3.9031239,246.04999,oKa26H1Zgm,4362.85,2023-01-08,Sunday
2023-01-08 09:46:00.665,4.4444447,80.67,oKa26H1Zgm,1414.15,2023-01-08,Sunday
2023-01-08 09:46:00.666,5.7777777,145.81,oKa26H1Zgm,2547.33,2023-01-08,Sunday
2023-01-08 09:46:00.666,2.805555,113.299995,oKa26H1Zgm,1966.35,2023-01-08,Sunday
2023-01-08 09:46:00.667,6.944445,207.97998,oKa26H1Zgm,3663.56,2023-01-08,Sunday
2023-01-08 09:46:00.667,3.8888886,97.729996,oKa26H1Zgm,1689.74,2023-01-08,Sunday
2023-01-08 09:46:00.668,5.1287084,158.79999,oKa26H1Zgm,2831.42,2023-01-08,Sunday
2023-01-08 09:46:00.668,3.2222223,194.68,oKa26H1Zgm,3461.21,2023-01-08,Sunday
2023-01-08 09:46:00.669,2.7913978,135.79,oKa26H1Zgm,2276.58,2023-01-08,Sunday
2023-01-08 09:46:00.669,2.9722228,136.59,oKa26H1Zgm,2408.03,2023-01-08,Sunday
2023-01-08 09:46:00.669,4.75,145.44,oKa26H1Zgm,2565.69,2023-01-08,Sunday
2023-01-08 09:46:00.670,3.4722223,132.12,oKa26H1Zgm,2233.3901,2023-01-08,Sunday
2023-01-08 09:46:00.670,4.388889,131.65,oKa26H1Zgm,2311.6602,2023-01-08,Sunday
